HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,31QNSG6A5S0PB1U2YYHQKGLSBD378W,APGX2WZ59OWDN,Submitted,Tue Apr 06 11:58:04 PDT 2021,Thu Apr 08 11:56:00 PDT 2021,Sat Apr 10 11:56:00 PDT 2021,,,,172676,0% (0/0),0% (0/0),0% (0/0),3578,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,31T4R4OBOTNRN4KFFAXVM2HB14O7C2,A1160COTUR26JZ,Approved,Tue Apr 06 11:58:08 PDT 2021,Wed Apr 07 14:15:13 PDT 2021,Fri Apr 09 14:15:13 PDT 2021,Fri Apr 09 14:15:16 PDT 2021,,,94625,100% (1/1),100% (1/1),100% (1/1),8106,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,32M8BPYGAUT1T0HG0NXB3ISZDCRGIG,A2PBRGT71DUYOY,Submitted,Tue Apr 06 11:59:42 PDT 2021,Thu Apr 08 10:17:04 PDT 2021,Sat Apr 10 10:17:04 PDT 2021,,,,166642,0% (0/0),0% (0/0),0% (0/0),3904,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,338JKRMM2760NETT85NG7KGHFDVAHJ,A2G7DTL156PTKA,Submitted,Thu Apr 08 14:28:46 PDT 2021,Thu Apr 08 16:46:19 PDT 2021,Sat Apr 10 16:46:19 PDT 2021,,,,8253,100% (1/1),100% (1/1),0% (0/0),7080,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,34Q075JO1YKTIQAXEEN2QROXPTR015,A2SJC9VRBGNC58,Approved,Tue Apr 06 11:58:07 PDT 2021,Tue Apr 06 12:42:40 PDT 2021,Thu Apr 08 12:42:40 PDT 2021,Thu Apr 08 12:42:58 PDT 2021,,,2673,100% (1/1),100% (1/1),100% (1/1),1246,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,354GIDR5ZCDTB1PFIVJ2CM5NK1L002,A3RHJEMZ4EGY2U,Approved,Tue Apr 06 11:58:07 PDT 2021,Tue Apr 06 13:56:06 PDT 2021,Thu Apr 08 13:56:06 PDT 2021,Thu Apr 08 13:56:58 PDT 2021,,,7079,100% (2/2),100% (2/2),100% (1/1),2798,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,35BLDD71I7466NWLPMKJ3EYZW4GZVK,A1I72NHC21347A,Approved,Tue Apr 06 11:58:03 PDT 2021,Wed Apr 07 06:29:04 PDT 2021,Fri Apr 09 06:29:04 PDT 2021,Fri Apr 09 06:29:06 PDT 2021,,,66661,100% (1/1),100% (1/1),100% (1/1),6220,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,35DR22AR5ERXPJUN4UQSNYQ5XQG3XX,A27O7H19C0WQ7T,Submitted,Wed Apr 07 18:14:56 PDT 2021,Wed Apr 07 20:28:04 PDT 2021,Fri Apr 09 20:28:04 PDT 2021,,,,7988,0% (0/0),0% (0/0),0% (0/0),9226,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,35K3O9HUACKJZVJZTK120IUVK4KFE7,A3L4JI1S352HB8,Approved,Tue Apr 06 11:58:12 PDT 2021,Tue Apr 06 12:25:51 PDT 2021,Thu Apr 08 12:25:51 PDT 2021,Thu Apr 08 12:25:58 PDT 2021,,,1659,100% (2/2),100% (2/2),100% (1/1),5462,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,38F5OAUN5OJI4CVV12BWXTEREWT7HB,A1OKMU27HBN9T3,Approved,Tue Apr 06 11:58:15 PDT 2021,Tue Apr 06 12:01:51 PDT 2021,Thu Apr 08 12:01:51 PDT 2021,Thu Apr 08 12:01:59 PDT 2021,,,216,100% (2/2),100% (2/2),100% (1/1),8453,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,392CY0QWG2YLHKOW5MVAUTVWN7I4IH,A11S8IAAVDXCUS,Approved,Tue Apr 06 11:58:02 PDT 2021,Tue Apr 06 12:04:43 PDT 2021,Thu Apr 08 12:04:43 PDT 2021,Thu Apr 08 12:04:59 PDT 2021,,,401,100% (1/1),100% (1/1),100% (1/1),8087,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,39U1BHVTDMYQ82L3ZKPVYV5ZKO1T31,A2NMLTECRDWFN2,Approved,Tue Apr 06 11:58:11 PDT 2021,Tue Apr 06 12:10:32 PDT 2021,Thu Apr 08 12:10:32 PDT 2021,Thu Apr 08 12:10:58 PDT 2021,,,741,100% (1/1),100% (1/1),100% (1/1),9577,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,3AUQQEL7U60942QVLS7RXFVDEXY0VU,A3BSK47WPPE876,Approved,Tue Apr 06 11:59:04 PDT 2021,Tue Apr 06 15:31:57 PDT 2021,Thu Apr 08 15:31:57 PDT 2021,Thu Apr 08 15:31:58 PDT 2021,,,12773,100% (1/1),100% (1/1),100% (1/1),3060,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,3AWETUDC93Z1KHCLQFL0OP85O2OIZA,ARWF605I7RWM7,Approved,Tue Apr 06 12:14:54 PDT 2021,Tue Apr 06 19:42:54 PDT 2021,Thu Apr 08 19:42:54 PDT 2021,Thu Apr 08 19:42:58 PDT 2021,,,26880,100% (1/1),100% (1/1),100% (1/1),3710,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,3D8YOU6S9FR45YNAIRD3AU3LD0XU60,A3PNTWPT4U4OJW,Submitted,Thu Apr 08 01:58:44 PDT 2021,Thu Apr 08 02:03:41 PDT 2021,Sat Apr 10 02:03:41 PDT 2021,,,,297,0% (0/0),0% (0/0),0% (0/0),8520,,
3SU800BH86ZVTW917XMZRFPPRIXUQJ,3MFWWXCWB1EPNBH00QSICKFKNL2C60,Answer a survey about clothing and shopping experiences,"We are conducting an academic survey about shopping preferences. Please select the link below to complete the survey. At the end of the survey, you will receive a code to paste into the box below to receive credit for taking our survey. Thank you!","survey, shopping, clothes",$0.80,Tue Apr 06 11:57:54 PDT 2021,50,BatchId:4397928;OriginalHitTemplateId:920937340;,172800,172800,Fri Apr 09 14:27:54 PDT 2021,,,3DH6GAKTYZWNAHRQUX73AD2TELIZYT,A3FNC8ELMK8YJA,Approved,Tue Apr 06 11:58:06 PDT 2021,Tue Apr 06 14:01:29 PDT 2021,Thu Apr 08 14:01:29 PDT 2021,Thu Apr 08 14:01:58 PDT 2021,,,7403,100% (1/1),100% (1/1),100% (1/1),1911,,
